PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,grayzone,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,scientificamerican,shadowproof,slate,snopes,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
right wing,1879,22,42,6,0,5,0,13,1,11,0,2,38,14,0,28,88,136,15,107,8,37,5,4,12,3,0,9,13,78,175,5,11,2,60,176,42,122,23,16,23,12,4,13,4,10,1,8,25,0,0,5,0,0,54,5,1,0,9,0,13,11,7,25,9,50,0,0,1,67,10,0,1,5,21,153,1
communist,2266,23,15,27,53,8,6,14,5,187,1,0,3,16,3,83,34,36,48,85,49,6,45,38,23,39,2,6,188,36,25,64,0,46,12,85,52,21,6,14,90,7,3,50,25,55,2,5,18,4,0,73,1,0,43,24,3,6,6,0,7,6,7,4,102,16,0,0,41,23,55,0,5,2,16,155,3
socialist,3999,46,30,34,26,7,19,10,2,207,0,3,2,45,7,84,75,32,22,238,121,25,54,42,36,129,4,5,476,77,48,63,5,38,80,185,54,96,3,158,117,56,22,37,77,55,0,8,46,6,1,141,7,0,64,87,14,0,25,0,7,11,0,26,86,26,0,2,14,63,83,0,1,1,36,275,9
deputy director,260,3,0,1,0,0,2,1,0,4,0,2,0,11,2,16,3,1,1,5,1,2,8,0,0,0,0,0,1,12,0,3,0,0,0,0,3,4,2,0,8,0,0,7,2,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,11,0,98,1,7,27,1
regime change,1554,11,38,57,0,16,2,4,0,4,0,0,17,5,0,18,140,105,6,128,2,3,4,1,11,5,3,4,20,103,116,11,1,7,30,25,88,224,0,6,8,9,0,8,3,9,0,15,19,0,0,6,0,0,10,3,0,0,34,0,8,6,0,1,2,68,0,0,0,50,13,0,1,1,11,53,1
human rights,3688,95,31,34,1,14,10,23,1,141,3,10,49,32,3,119,214,127,79,167,14,29,38,16,45,40,0,24,226,163,63,126,13,10,66,82,20,142,8,96,129,14,2,65,25,48,1,26,18,2,21,28,2,0,35,20,0,4,28,0,13,33,2,3,27,25,0,3,2,77,59,0,40,3,48,480,8
democratic,2939,35,29,27,3,5,3,14,1,44,1,3,8,37,1,92,133,38,51,238,31,36,27,6,48,45,3,53,164,86,35,103,1,41,48,233,50,83,6,119,59,15,4,34,28,63,4,14,21,3,0,32,3,0,49,15,1,0,24,0,5,15,1,18,33,33,0,0,1,72,51,0,13,0,36,295,7
propaganda,1512,21,15,12,4,7,7,6,3,41,0,10,10,7,0,17,50,82,14,99,8,10,9,1,5,8,1,13,40,142,16,31,3,14,51,29,66,65,4,40,14,56,3,10,10,9,3,31,34,0,0,19,2,0,30,20,0,0,13,0,4,11,0,2,14,27,1,1,13,48,12,0,35,2,19,100,6
revolutionary,1346,14,10,11,8,3,6,12,5,14,2,5,1,4,3,29,20,7,24,203,14,3,12,3,13,12,1,5,39,56,34,51,4,1,15,141,8,52,5,44,18,20,5,11,18,33,1,3,45,1,0,12,5,0,16,8,4,0,8,0,3,5,1,43,18,8,1,0,4,61,10,1,1,2,13,67,2
humanitarian,2165,105,34,23,0,22,19,10,6,55,1,2,24,39,2,80,117,44,28,102,9,16,32,3,17,11,0,3,96,131,12,71,6,4,64,32,25,180,7,35,56,7,0,48,16,32,1,13,5,1,6,9,1,0,29,11,4,8,17,0,13,6,0,3,15,14,0,0,3,45,50,0,10,0,21,249,5
