PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
pro Israel,1025,12,11,15,1,7,5,11,0,12,0,14,17,7,35,50,0,14,81,0,0,8,2,18,62,18,24,0,0,3,35,29,52,4,31,6,40,20,1,23,31,30,1,29,29,20,14,11,21,2,5,36,2,0,48,75,3
violence,2852,38,32,1,3,9,16,66,12,49,0,50,13,50,206,88,34,15,83,75,39,11,17,48,165,15,128,72,0,17,11,15,40,2,21,20,54,159,3,77,117,54,4,33,140,50,29,35,51,2,33,114,5,19,82,328,1
anti Israel,761,1,11,2,1,11,0,9,0,16,0,3,0,5,16,7,0,4,110,1,3,19,7,46,116,31,8,4,0,2,2,4,23,1,7,1,28,19,0,10,24,18,3,42,12,23,4,0,31,1,3,9,2,0,4,57,0
anti Semitic,10086,179,92,24,20,16,57,121,49,267,26,142,25,194,616,156,38,66,701,207,201,70,40,215,888,62,21,128,4,44,69,13,35,14,73,38,238,497,8,267,625,253,22,241,500,278,243,91,126,43,96,323,20,40,322,912,26
bigotry,1216,7,25,4,3,1,1,20,3,28,3,6,7,19,59,37,6,4,85,13,5,4,3,45,140,2,46,9,0,3,5,11,26,1,15,4,42,55,2,33,59,27,5,22,50,51,9,7,27,3,4,35,2,0,25,108,0
dual loyalty,475,4,3,4,0,0,0,4,0,4,0,8,0,10,16,16,2,11,72,4,0,6,3,20,39,2,11,0,0,0,15,1,1,8,2,2,13,25,0,10,20,8,2,9,27,7,3,9,9,0,4,7,0,3,6,44,1
hate crimes,1195,32,4,0,0,3,5,9,0,8,0,22,2,77,102,16,6,2,39,25,24,6,2,23,71,7,32,29,0,2,1,3,8,1,3,4,35,61,4,43,115,17,1,9,52,25,31,5,3,2,3,68,0,4,45,102,2
hate speech,627,14,0,0,0,0,6,7,12,34,4,24,5,11,57,7,1,4,20,5,12,4,1,8,18,1,35,10,0,10,4,0,40,0,2,1,2,25,0,23,20,3,3,4,32,22,22,4,4,1,1,15,6,0,19,59,2
Israel lobby,236,7,3,0,0,0,0,0,0,0,0,2,6,1,3,45,0,10,10,0,1,0,0,0,6,1,6,0,0,0,9,10,5,2,17,0,3,7,0,14,2,1,0,2,4,1,11,0,0,0,22,3,3,0,9,9,1
neo Nazi,672,18,12,1,0,0,8,6,2,11,0,7,1,6,33,10,0,5,15,18,28,1,0,7,17,0,59,35,0,1,10,4,15,0,5,7,5,32,0,12,20,6,1,6,69,2,15,7,7,0,2,14,2,37,21,71,0
rabbis,905,7,0,0,17,2,21,10,0,27,0,10,3,19,55,3,6,3,23,9,31,2,2,4,64,2,79,8,1,4,0,0,53,1,7,1,5,34,0,37,66,37,0,12,29,5,14,5,20,3,14,37,2,4,6,101,0
support for Israel,432,7,6,4,1,3,2,8,0,6,0,9,5,2,12,8,2,11,51,1,1,1,2,5,34,10,4,2,0,0,8,10,13,0,7,3,14,25,0,10,21,10,2,7,12,8,4,6,3,0,2,3,3,0,13,48,3
synagogue,5591,84,32,4,5,2,52,104,21,93,4,159,13,126,391,88,33,14,101,77,42,9,19,29,444,5,251,135,1,19,20,23,172,0,14,17,69,291,1,296,282,157,8,66,259,36,110,44,27,1,67,528,7,37,132,551,14
white nationalist,756,16,18,0,0,1,0,13,0,6,0,42,0,2,39,51,3,0,12,40,2,0,0,6,16,0,25,33,0,1,5,3,1,0,4,7,7,45,0,59,14,18,2,15,75,19,1,10,1,0,10,17,1,16,26,74,0
white supremacist,1109,54,33,0,0,1,7,8,0,9,0,37,5,16,58,27,1,7,21,77,7,3,3,6,42,1,54,46,0,7,20,13,6,0,2,13,16,61,0,23,55,16,0,25,78,36,5,9,2,2,8,25,0,12,44,108,0
