PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
casino,321,2,0,3,0,18,0,0,1,8,0,0,6,4,18,11,0,14,18,1,11,0,6,7,1,11,0,9,64,17,2,89,0
gold,157,22,3,0,1,0,0,0,4,1,14,3,0,8,20,1,1,0,20,0,6,14,0,4,3,7,0,9,0,9,2,5,0
heritage,305,0,5,2,1,7,0,1,8,8,50,10,6,6,1,3,7,1,12,6,5,12,41,5,3,3,14,3,8,21,13,43,0
hunting,122,6,0,0,2,1,1,1,1,2,8,6,23,11,1,5,1,2,12,3,4,4,4,5,4,1,2,1,3,0,3,5,0
Indian Country,331,1,7,10,0,8,0,1,4,17,6,17,0,21,1,1,1,2,8,5,4,19,24,23,6,7,0,10,0,53,40,35,0
Indian reservation,53,2,0,0,0,4,0,0,2,1,0,0,1,0,0,3,3,4,4,3,1,1,4,7,2,3,0,0,0,3,1,2,2
Indigenous people,209,19,14,0,1,6,0,1,8,16,34,7,0,7,0,0,3,0,22,0,21,8,4,3,0,3,0,15,2,7,6,2,0
logo,93,0,0,3,3,9,0,1,9,0,1,0,3,0,0,0,0,3,3,1,0,0,11,0,0,2,6,0,19,3,2,14,0
mascots,137,0,0,9,2,6,0,1,22,0,7,0,3,3,0,0,0,2,2,4,1,0,9,0,2,7,2,3,1,8,2,39,2
mining,181,6,0,1,0,0,0,0,3,12,7,22,0,0,31,0,0,0,18,1,2,44,6,5,1,1,0,9,0,4,3,5,0
monument,291,12,9,0,0,10,0,1,6,12,1,7,5,14,3,0,0,12,23,23,0,45,13,12,0,0,1,18,0,31,3,30,0
Native people,314,4,5,3,11,6,0,2,3,25,8,12,0,26,2,0,2,2,22,25,22,5,35,6,6,10,5,8,4,4,24,27,0
oil,369,9,6,3,0,2,15,0,1,44,7,7,14,13,0,0,0,1,41,13,24,33,47,28,10,4,0,17,1,4,2,22,1
pipeline,431,2,0,1,0,11,47,0,2,83,8,6,8,18,0,1,0,5,46,9,21,26,56,16,9,3,1,24,0,8,1,17,2
sacred,357,23,9,3,0,5,0,2,10,35,23,27,12,22,2,1,0,4,25,3,6,19,21,9,9,2,2,17,0,15,25,26,0
settlers,222,11,2,3,4,4,0,0,15,2,22,7,1,10,13,1,12,1,11,0,7,8,4,6,3,23,5,5,0,6,5,31,0
statues,107,0,2,1,0,35,0,0,0,0,1,3,0,0,0,0,7,0,3,1,1,1,1,8,0,0,0,0,1,31,0,11,0
territory,282,33,2,0,7,3,0,1,12,17,14,16,4,11,0,5,7,3,45,5,20,5,5,8,2,11,5,9,1,7,6,17,1
treaty,403,8,7,3,7,0,0,0,7,12,25,23,20,34,0,15,1,2,23,3,36,37,4,24,1,8,3,20,3,14,21,42,0
tribal governments,188,2,10,3,0,11,31,0,6,5,6,0,1,7,0,1,0,0,8,1,0,14,15,6,7,4,3,12,0,5,15,15,0
tribal leaders,201,5,2,4,0,6,2,7,5,3,5,1,6,7,5,0,0,10,14,18,3,5,11,10,7,12,0,5,2,16,2,27,1
violence,324,12,4,0,3,2,3,16,8,22,16,12,5,14,3,3,12,1,33,1,24,32,17,10,14,5,0,6,4,17,7,18,0
American Indian,497,4,5,8,6,22,1,7,5,8,24,20,25,67,1,5,9,7,20,9,7,6,26,22,8,10,4,15,18,34,19,72,3
Native Americans,1250,27,15,28,9,20,10,3,60,53,46,8,14,44,12,17,23,25,91,24,11,23,83,78,39,34,23,64,23,85,58,200,0
oil pipeline,30,2,0,1,0,0,0,0,0,2,3,0,3,1,0,0,0,1,1,0,0,0,10,0,0,2,0,3,0,0,0,0,1
Native American communities,86,1,3,2,0,1,1,6,4,4,5,0,0,3,1,0,0,1,0,4,2,4,5,3,1,2,0,8,0,10,5,9,1
sovereignty,303,8,12,3,0,4,1,2,3,26,29,7,5,13,1,9,4,7,16,3,7,21,14,13,4,9,7,17,2,15,19,22,0
Indian tribe,32,0,1,1,0,1,4,0,1,0,0,0,2,2,1,0,2,0,1,0,0,0,0,1,2,0,0,1,2,3,0,6,1
Native American rights,15,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1
colony,33,1,1,0,0,0,0,0,1,0,0,1,0,4,11,0,0,0,3,0,1,0,0,1,0,7,0,0,0,2,0,0,0
occupation,72,22,0,3,0,0,0,0,1,5,1,2,0,4,0,0,1,0,2,0,3,3,0,4,0,17,0,1,0,1,0,2,0
westward expansion,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
massacre,70,0,1,1,3,0,0,8,2,5,1,2,0,8,0,1,1,2,10,0,3,0,2,0,4,2,0,0,0,0,1,13,0
Sitting Bull,31,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,0,1,0,14,1,0,0,0,1,0,0,0
colonial,130,10,5,0,3,3,2,0,2,4,16,11,0,9,0,1,7,3,9,0,0,0,3,6,0,16,0,3,1,5,3,8,0
