PHRASE,TOTAL,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
oil and gas,5041,88,38,1,3,60,6,52,14,171,71,16,5,11,48,168,703,7,137,178,258,269,25,62,53,38,368,60,15,64,13,21,99,33,93,11,138,51,96,15,16,174,26,62,200,18,13,11,42,71,28,104,454,231
pipeline,2852,101,13,4,0,63,0,3,19,161,8,5,14,14,4,47,496,9,90,20,134,53,17,36,75,49,183,14,17,73,6,72,25,4,44,27,96,69,48,14,1,85,27,21,196,11,9,8,15,75,18,11,187,43
lobbying,460,6,4,0,0,0,1,3,0,5,1,0,1,2,0,2,66,0,5,111,6,115,0,2,3,1,40,2,0,7,0,1,1,0,2,0,5,1,0,1,0,3,0,1,2,2,1,0,5,3,0,16,27,6
oil demand,931,21,1,0,0,3,0,14,6,20,56,0,0,2,39,79,12,2,13,0,7,11,16,30,3,1,64,0,31,0,0,1,0,0,1,6,13,7,9,0,0,11,0,66,135,0,0,0,3,7,1,4,96,137
oil production,2168,71,11,40,2,11,5,9,10,40,46,1,5,18,15,140,43,4,46,28,117,27,16,24,30,15,89,4,30,6,18,21,6,13,32,20,54,30,44,2,17,42,10,74,282,13,16,7,17,191,3,22,177,140
subsidies,265,8,3,4,0,1,14,1,3,12,0,0,2,0,2,9,50,0,13,3,3,2,0,10,0,1,20,0,3,3,3,0,4,9,2,1,1,3,7,0,0,3,1,9,1,0,4,1,1,2,0,26,16,4
oil industry,1591,39,9,13,1,9,5,7,6,36,16,2,2,13,8,143,106,0,34,96,46,120,6,17,19,6,77,7,22,5,11,18,7,14,27,11,56,12,58,3,14,39,7,60,115,5,2,1,21,41,14,7,100,73
Big Oil,436,0,4,0,0,1,0,2,0,0,1,1,0,0,4,20,138,1,1,48,3,79,0,0,1,20,1,0,0,4,0,2,4,0,0,0,2,4,2,1,0,8,0,0,18,1,2,0,3,6,3,31,18,2
oil price,1096,58,12,10,0,3,0,2,13,16,33,1,0,8,5,39,19,0,18,18,4,3,75,54,6,2,124,0,10,0,7,5,1,2,12,5,13,5,8,0,3,17,2,67,174,0,15,3,4,15,0,5,62,129
price war,882,55,2,21,1,1,0,0,10,37,47,1,0,5,9,78,8,2,5,7,2,6,47,27,16,2,24,0,14,0,3,3,1,4,13,2,26,4,8,0,10,16,2,100,83,3,5,0,2,6,0,2,69,91
fossil fuel industry,485,1,11,0,0,0,1,0,0,2,0,3,0,0,1,2,240,2,6,10,21,20,1,2,8,1,35,3,0,23,0,0,7,2,0,0,7,2,1,0,3,23,1,0,0,4,0,2,7,7,4,10,12,0
fuel theft,51,2,0,0,0,0,0,0,0,0,0,10,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,6,0,0,0,2,0,0,1,0,0,0,0,6,0,0,6,1
gas prices,602,5,4,0,0,0,0,3,1,8,8,2,0,29,5,48,3,0,3,6,57,7,2,6,8,4,23,1,5,1,8,0,5,7,37,3,34,14,3,0,10,7,13,3,15,1,8,2,1,81,0,26,53,30
oil spill,718,15,2,0,0,34,2,0,30,14,2,1,0,15,0,110,86,0,42,7,13,9,7,0,14,1,76,10,1,0,0,2,6,0,19,0,39,11,15,5,1,26,4,1,7,0,5,2,7,13,3,9,46,4
oil market,1199,42,8,2,0,0,0,0,13,41,30,0,0,8,6,159,9,2,16,5,12,0,18,16,8,14,73,0,27,0,8,2,3,5,44,7,19,6,11,0,7,24,0,41,296,5,4,7,1,11,4,10,89,84
offshore drilling,550,1,8,0,0,8,6,4,0,2,0,0,0,5,1,35,130,0,11,12,41,31,3,1,8,0,16,20,0,3,1,0,4,1,28,0,16,2,17,0,2,17,1,0,3,2,1,0,0,20,1,2,66,17
oil producers,1035,60,11,19,0,3,1,0,13,28,11,1,0,2,7,63,17,0,15,17,14,7,15,34,11,7,51,0,25,1,4,5,2,10,10,5,20,13,32,0,7,34,2,141,124,6,8,0,3,11,0,1,108,52
tar sands,311,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,147,0,0,8,1,4,0,7,0,16,41,1,0,1,1,5,5,0,0,0,5,4,0,1,0,8,0,0,1,0,1,14,7,0,15,3,5,2
oil fields,421,15,15,8,1,6,0,0,3,18,0,0,0,4,0,9,22,16,2,8,5,3,1,3,9,16,11,0,1,0,14,5,2,1,4,5,37,5,24,0,10,17,0,7,36,0,4,2,4,8,1,2,44,13
oil companies,1572,40,13,10,1,4,2,5,7,11,29,1,2,6,5,177,113,3,33,40,79,73,21,49,6,16,98,11,3,5,5,25,20,7,34,15,37,14,48,2,7,26,1,58,56,10,3,3,14,28,10,32,142,99
global oil,1095,47,3,8,1,1,2,4,9,33,31,0,0,5,14,69,17,4,25,7,24,3,22,23,9,12,76,0,16,1,4,7,0,4,23,8,25,19,19,0,2,31,1,91,146,1,3,6,6,19,1,10,100,101
fracking permits,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,24,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
fossil fuel companies,324,3,3,0,0,0,0,0,0,1,1,3,0,0,0,8,93,0,9,3,23,14,2,0,3,0,49,2,0,13,0,0,7,2,0,0,2,2,11,1,6,14,0,0,1,3,0,0,5,3,5,20,10,1
fuel prices,163,2,2,2,0,1,1,0,2,2,1,0,0,1,1,8,4,0,12,1,8,1,50,2,2,0,4,0,2,0,1,0,0,1,0,1,1,1,0,0,0,6,2,7,7,0,0,0,1,9,0,1,12,4
refineries,827,17,4,0,1,22,3,1,2,18,2,0,1,19,4,58,15,0,21,5,51,17,3,22,8,7,39,7,11,12,5,2,7,19,28,2,29,10,21,3,4,19,3,42,63,2,10,2,7,33,7,15,80,31
the JCPOA,58,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,13,4,1,0,0,0,0,0,4,1,0,1,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,8,0,0,0,0,0
oil tankers,423,34,2,0,3,11,0,0,1,2,0,0,1,23,2,13,11,2,11,6,8,1,10,7,32,12,40,0,8,0,4,3,1,1,8,0,6,16,13,0,2,15,1,1,26,1,0,5,14,24,1,6,22,13
