PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
Big Tech,341,0,1,0,2,0,0,16,3,1,0,4,0,2,3,10,0,0,1,0,13,53,22,1,0,32,0,5,0,15,3,0,8,0,46,3,58,12,1,3,0,0,0,4,1,4,14,0
conservative,1630,11,9,13,5,7,3,64,7,32,3,35,6,32,5,89,6,90,42,2,2,149,128,34,12,46,5,19,0,78,35,16,9,3,116,55,59,36,19,34,7,1,43,13,2,93,148,7
big tech,280,0,3,6,0,0,0,24,0,6,0,6,2,1,8,11,0,28,1,3,3,35,22,3,0,10,1,7,0,4,13,7,2,0,17,7,1,4,1,6,2,0,4,15,0,6,11,0
fake news,416,11,3,0,7,2,2,9,0,2,4,27,40,28,13,12,0,31,0,10,1,3,4,23,0,9,1,8,12,6,5,5,8,0,4,23,6,7,11,5,2,5,5,2,1,7,52,0
tech companies,704,8,2,7,3,1,0,20,1,20,0,36,16,4,9,28,3,17,0,1,12,22,37,11,9,11,4,4,0,17,60,17,5,4,28,12,9,7,15,8,9,1,19,21,7,46,133,0
online platforms,293,3,4,1,0,1,1,2,0,15,1,21,6,3,1,3,0,61,0,2,23,2,7,4,0,0,0,3,0,6,37,4,6,0,0,6,6,0,6,2,12,0,4,15,0,9,15,1
misinformation,513,9,3,0,13,0,4,11,5,25,2,9,14,7,6,10,0,23,3,0,16,3,22,33,1,6,1,0,2,9,23,11,4,4,0,5,14,4,32,4,4,7,7,18,18,29,88,4
hate speech,1689,27,10,16,17,5,18,53,47,37,11,55,11,55,22,65,16,36,17,13,7,29,45,85,13,119,22,34,2,58,55,31,12,15,53,31,58,31,20,13,28,14,50,42,24,51,211,5
disinformation,421,1,3,1,2,0,3,12,0,4,0,29,6,34,4,3,4,8,6,3,11,2,12,6,0,8,0,1,2,0,12,11,2,4,6,16,5,5,38,0,9,13,7,4,5,25,94,0
news organizations,65,2,2,0,0,1,2,2,0,3,0,5,4,1,1,2,0,0,0,0,0,1,3,3,0,0,0,1,0,1,1,3,1,0,1,2,0,1,1,0,0,0,1,1,1,1,17,0
independent media,45,2,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,0,0,0,1,0,0,0,1,12,2,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,9,0
Internet freedom,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0
bias,734,8,2,5,12,1,3,19,0,7,3,18,11,5,3,30,2,111,1,1,7,17,47,12,2,8,3,5,0,45,21,4,9,4,41,19,34,15,9,17,3,3,26,23,4,26,85,3
purge,89,0,0,1,0,0,0,1,0,0,0,0,7,1,1,5,4,0,1,1,0,1,5,1,1,8,0,7,6,2,4,1,0,1,0,9,1,6,2,1,1,0,0,0,0,2,8,0
social media giants,118,3,2,3,1,0,0,2,0,1,0,3,0,5,4,2,0,26,0,1,0,3,11,4,1,8,0,1,1,0,1,1,3,0,5,1,4,4,0,2,1,0,0,0,0,2,11,1
to censor,391,6,5,6,1,0,0,25,3,19,0,12,7,4,6,15,2,31,4,5,9,28,20,9,3,15,3,9,2,13,13,6,4,5,9,12,12,12,9,2,2,1,4,4,7,6,19,2
liability,458,3,3,20,1,4,1,2,0,11,1,10,10,2,5,11,3,69,1,1,47,19,16,6,5,4,0,5,0,13,22,2,13,10,4,6,8,0,29,8,8,4,10,14,2,14,31,0
censored content,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0
triggered,59,10,0,0,0,1,0,2,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,2,1,2,1,0,1,1,2,3,2,0,7,0
Fake News,50,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,12,0,1,0,0,1,0,0,1,0,0,1,2,0,1,0,0,0,2,15,1,1,0,0,0,1,0,0,1,3,0
alternative media,34,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0
social media site,64,2,1,1,0,0,0,0,0,0,0,1,1,0,1,2,0,17,0,1,0,1,1,4,0,3,0,0,1,0,1,1,2,11,1,3,1,0,0,1,0,0,0,0,1,0,5,0
media networks,48,1,1,0,0,0,0,4,0,0,0,1,1,0,0,1,0,7,0,0,1,0,2,2,0,2,0,0,0,0,3,0,2,10,1,1,0,0,0,0,1,0,0,4,2,1,0,0
online censorship,82,5,1,0,0,1,0,19,0,2,0,3,2,2,0,0,0,9,0,0,0,6,1,1,0,3,0,2,0,1,2,0,2,0,2,0,0,1,0,5,1,0,0,0,9,0,2,0
content moderation,257,0,2,4,1,0,0,3,2,5,2,4,4,0,1,5,0,2,0,1,38,3,4,4,0,3,2,2,1,13,6,5,2,1,0,6,2,0,19,0,3,6,5,18,6,13,57,2
moderators,200,0,0,4,0,1,0,6,8,3,0,3,2,2,0,7,3,0,0,4,13,2,6,3,1,0,8,0,0,9,5,3,1,1,1,0,0,1,6,2,0,3,5,19,3,3,46,16
leftist,169,1,3,1,0,0,0,13,3,0,0,1,1,0,3,4,0,0,11,1,1,29,13,1,0,12,3,3,1,9,0,1,0,0,17,3,16,3,1,10,0,0,1,0,0,1,2,0
propaganda,378,6,1,2,1,4,4,9,1,9,2,15,4,5,5,10,2,19,2,6,0,4,16,26,0,10,1,11,3,11,16,6,1,3,20,2,5,7,14,3,2,0,11,5,13,11,68,2
to control,211,11,3,1,0,1,4,6,0,8,1,15,4,5,7,4,0,6,0,1,7,10,5,8,0,1,1,9,0,11,5,2,3,13,3,2,8,1,1,2,0,1,3,0,1,4,30,3
social media companies,623,9,12,5,3,4,5,13,5,37,4,23,11,14,9,9,2,36,1,1,7,19,29,21,3,13,0,7,2,7,22,15,11,3,20,10,7,2,17,9,4,3,29,8,8,51,89,4
inauthentic behavior,38,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,3,6,0,2,0,0,1,7,0,1,2,2,0,0,0,0,1,0,2,5,0
mainstream,342,3,10,2,2,1,0,8,4,5,0,12,7,7,5,7,0,7,2,2,0,18,9,21,2,10,4,14,3,13,8,3,0,0,39,12,15,9,9,14,0,0,4,2,2,10,37,0
social media platforms,569,8,7,6,3,1,10,18,4,24,3,15,10,41,4,8,2,50,1,4,31,13,19,18,4,11,1,9,4,7,14,13,8,7,19,16,4,9,11,6,6,3,18,5,6,27,60,1
